,Date,Low,High,Close,Open
4633,2018-06-04,191.35,193.42,191.83,191.635
4632,2018-06-01,187.75,190.26,190.24,187.9912
4631,2018-05-31,186.14,188.23,186.87,187.22
4630,2018-05-30,186.78,188.0,187.5,187.72
4629,2018-05-29,186.87,188.75,187.9,187.6
4628,2018-05-25,187.65,189.65,188.58,188.23
4627,2018-05-24,186.21,188.84,188.15,188.77
4626,2018-05-23,185.76,188.5,188.36,186.35
4625,2018-05-22,186.78,188.88,187.16,188.375
4624,2018-05-21,186.9106,189.27,187.63,188.0
4623,2018-05-18,186.13,187.8102,186.31,187.19
4622,2018-05-17,186.36,188.91,186.99,188.0
4621,2018-05-16,186.0,188.46,188.18,186.07
4620,2018-05-15,185.1,187.07,186.44,186.78
4619,2018-05-14,187.86,189.53,188.15,189.01
4618,2018-05-11,187.45,190.06,188.59,189.49
4617,2018-05-10,187.65,190.37,190.04,187.74
4616,2018-05-09,185.22,187.4,187.36,186.55
4615,2018-05-08,183.665,186.22,186.05,184.99
4614,2018-05-07,184.75,187.67,185.16,185.18
4613,2018-05-04,178.17,184.25,183.83,178.25
4612,2018-05-03,174.4411,177.5,176.89,175.88
4611,2018-05-02,173.8,177.75,176.57,175.225
4610,2018-05-01,165.27,169.2,169.1,166.4102
4609,2018-04-30,161.84,167.26,165.26,162.1302
4608,2018-04-27,160.63,164.33,162.32,164.0
4607,2018-04-26,163.37,165.73,164.22,164.12
4606,2018-04-25,162.41,165.42,163.65,162.62
4605,2018-04-24,161.2201,166.33,162.94,165.67
4604,2018-04-23,164.09,166.92,165.24,166.8348
4603,2018-04-20,165.43,171.2184,165.72,170.595
4602,2018-04-19,172.66,175.39,172.8,174.95
4601,2018-04-18,176.88,178.82,177.84,177.81
4600,2018-04-17,176.41,178.9365,178.24,176.49
4599,2018-04-16,174.8301,176.19,175.82,175.0301
4598,2018-04-13,173.85,175.84,174.73,174.78
4597,2018-04-12,173.04,175.0,174.14,173.41
4596,2018-04-11,171.7,173.9232,172.44,172.23
4595,2018-04-10,171.53,174.0,173.25,173.0
4594,2018-04-09,169.845,173.09,170.05,169.88
4593,2018-04-06,168.2,172.48,168.38,170.97
4592,2018-04-05,172.08,174.2304,172.8,172.58
4591,2018-04-04,164.77,172.01,171.61,164.88
4590,2018-04-03,164.88,168.7455,168.39,167.64
4589,2018-04-02,164.47,168.94,166.68,167.88
4588,2018-03-29,166.9,171.75,167.78,167.805
4587,2018-03-28,165.19,170.02,166.48,167.25
4586,2018-03-27,166.92,175.15,168.34,173.68
4585,2018-03-26,166.44,173.1,172.77,168.07
4584,2018-03-23,164.94,169.92,164.94,168.39
4583,2018-03-22,168.6,172.68,168.85,170.0
4582,2018-03-21,171.26,175.09,171.27,175.04
4581,2018-03-20,174.94,176.8,175.24,175.24
4580,2018-03-19,173.66,177.47,175.3,177.32
4579,2018-03-16,177.62,179.12,178.02,178.65
4578,2018-03-15,178.0701,180.24,178.65,178.5
4577,2018-03-14,177.81,180.52,178.44,180.32
4576,2018-03-13,179.24,183.5,179.97,182.59
4575,2018-03-12,180.21,182.39,181.72,180.29
4574,2018-03-09,177.39,180.0,179.98,177.96
4573,2018-03-08,175.07,177.12,176.94,175.48
4572,2018-03-07,174.27,175.85,175.03,174.94
4571,2018-03-06,176.13,178.25,176.67,177.91
4570,2018-03-05,174.52,177.74,176.82,175.21
4569,2018-03-02,172.45,176.3,176.21,172.8
4568,2018-03-01,172.66,179.775,175.0,178.54
4567,2018-02-28,178.05,180.615,178.12,179.26
4566,2018-02-27,178.16,180.48,178.39,179.1
4565,2018-02-26,176.21,179.39,178.97,176.35
4564,2018-02-23,173.54,175.65,175.5,173.67
4563,2018-02-22,171.71,173.95,172.5,171.8
4562,2018-02-21,171.01,174.12,171.07,172.83
4561,2018-02-20,171.42,174.26,171.85,172.05
4560,2018-02-16,171.77,174.82,172.43,172.36
4559,2018-02-15,169.0,173.09,172.99,169.79
4558,2018-02-14,162.88,167.54,167.37,163.045
4557,2018-02-13,161.65,164.75,164.34,161.95
4556,2018-02-12,157.51,163.89,162.71,158.5
4555,2018-02-09,150.24,157.89,156.41,157.07
4554,2018-02-08,155.03,161.0,155.15,160.29
4553,2018-02-07,159.0685,163.4,159.54,163.085
4552,2018-02-06,154.0,163.72,163.03,154.83
4551,2018-02-05,156.0,163.88,156.49,159.1
4550,2018-02-02,160.1,166.8,160.5,166.0
4549,2018-02-01,166.76,168.62,167.78,167.165
4548,2018-01-31,166.5,168.4417,167.43,166.87
4547,2018-01-30,164.7,167.37,166.97,165.525
4546,2018-01-29,167.07,170.16,167.96,170.16
4545,2018-01-26,170.06,172.0,171.51,172.0
4544,2018-01-25,170.53,174.95,171.11,174.505
4543,2018-01-24,173.2,177.3,174.22,177.25
4542,2018-01-23,176.82,179.44,177.04,177.3
4541,2018-01-22,176.6016,177.78,177.0,177.3
4540,2018-01-19,177.41,179.58,178.46,178.61
4539,2018-01-18,178.25,180.1,179.26,179.37
4538,2018-01-17,175.07,179.25,179.1,176.15
4537,2018-01-16,176.14,179.39,176.19,177.9
4536,2018-01-12,175.65,177.36,177.09,176.18
4535,2018-01-11,174.49,175.4886,175.28,174.59
4534,2018-01-10,173.0,174.3,174.29,173.16
4533,2018-01-09,173.41,175.06,174.33,174.55
4532,2018-01-08,173.93,175.61,174.35,174.35
4531,2018-01-05,173.05,175.37,175.0,173.44
4530,2018-01-04,172.08,173.47,173.03,172.54
4529,2018-01-03,171.96,174.55,172.23,172.53
4528,2018-01-02,169.26,172.3,172.26,170.16
4527,2017-12-29,169.22,170.59,169.23,170.52
4526,2017-12-28,170.48,171.85,171.08,171.0
4525,2017-12-27,169.71,170.78,170.6,170.1
4524,2017-12-26,169.679,171.47,170.57,170.8
4523,2017-12-22,174.5,175.424,175.01,174.68
4522,2017-12-21,174.1,176.02,175.01,174.17
4521,2017-12-20,173.25,175.42,174.35,174.87
4520,2017-12-19,174.09,175.39,174.54,175.03
4519,2017-12-18,174.86,177.2,176.42,174.88
4518,2017-12-15,172.46,174.17,173.97,173.63
4517,2017-12-14,171.65,173.13,172.22,172.4
4516,2017-12-13,172.0,173.54,172.27,172.5
4515,2017-12-12,171.461,172.39,171.7,172.15
4514,2017-12-11,168.79,172.89,172.67,169.2
4513,2017-12-08,168.82,171.0,169.37,170.49
4512,2017-12-07,168.91,170.44,169.32,169.03
4511,2017-12-06,166.46,170.2047,169.01,167.5
4510,2017-12-05,168.4,171.52,169.64,169.06
4509,2017-12-04,169.63,172.62,169.8,172.48
4508,2017-12-01,168.5,171.67,171.05,169.95
4507,2017-11-30,168.44,172.14,171.85,170.43
4506,2017-11-29,167.16,172.92,169.48,172.63
4505,2017-11-28,171.86,174.87,173.07,174.3
4504,2017-11-27,173.34,175.08,174.09,175.05
4503,2017-11-24,174.6459,175.5,174.97,175.1
4502,2017-11-22,173.05,175.0,174.96,173.36
4501,2017-11-21,170.78,173.7,173.14,170.78
4500,2017-11-20,169.56,170.56,169.98,170.29
4499,2017-11-17,169.64,171.39,170.15,171.04
4498,2017-11-16,170.3,171.87,171.1,171.18
4497,2017-11-15,168.38,170.3197,169.08,169.97
4496,2017-11-14,171.18,173.48,171.34,173.04
4495,2017-11-13,173.4,174.5,173.97,173.5
4494,2017-11-10,174.27,175.38,174.67,175.11
4493,2017-11-09,173.14,176.095,175.88,175.11
4492,2017-11-08,174.33,176.24,176.24,174.66
4491,2017-11-07,173.6,175.25,174.81,173.91
4490,2017-11-06,171.72,174.99,174.25,172.365
4489,2017-11-03,171.12,174.26,172.5,174.0
4488,2017-11-02,165.28,168.5,168.11,167.64
4487,2017-11-01,165.61,169.94,166.89,169.87
4486,2017-10-31,166.94,169.6499,169.04,167.9
4485,2017-10-30,163.72,168.07,166.72,163.89
4484,2017-10-27,158.7,163.6,163.05,159.29
4483,2017-10-26,156.78,157.8295,157.41,157.23
4482,2017-10-25,155.27,157.55,156.41,156.91
4481,2017-10-24,156.2,157.42,157.1,156.29
4480,2017-10-23,155.5,157.69,156.17,156.89
4479,2017-10-20,155.96,157.75,156.25,156.61
4478,2017-10-19,155.02,157.08,155.98,156.75
4477,2017-10-18,159.6,160.71,159.76,160.42
4476,2017-10-17,159.23,160.87,160.47,159.78
4475,2017-10-16,157.65,160.0,159.88,157.9
4474,2017-10-13,156.41,157.28,156.99,156.73
4473,2017-10-12,155.7299,157.37,156.0,156.35
4472,2017-10-11,155.75,156.98,156.55,155.97
4471,2017-10-10,155.1,158.0,155.9,156.055
4470,2017-10-09,155.485,156.73,155.84,155.81
4469,2017-10-06,154.56,155.49,155.3,154.97
4468,2017-10-05,154.05,155.44,155.39,154.18
4467,2017-10-04,152.46,153.86,153.48,153.63
4466,2017-10-03,153.91,155.09,154.48,154.01
4465,2017-10-02,152.72,154.45,153.81,154.26
4464,2017-09-29,152.0,154.13,154.12,153.21
4463,2017-09-28,152.7,154.28,153.28,153.89
4462,2017-09-27,153.54,154.7189,154.23,153.8
4461,2017-09-26,151.69,153.92,153.14,151.78
4460,2017-09-25,149.16,151.83,150.55,149.99
4459,2017-09-22,150.56,152.27,151.89,152.02
4458,2017-09-21,152.75,155.8,153.39,155.8
4457,2017-09-20,153.83,158.26,156.07,157.9
4456,2017-09-19,158.44,159.77,158.73,159.51
4455,2017-09-18,157.995,160.5,158.67,160.11
4454,2017-09-15,158.0,160.97,159.88,158.47
4453,2017-09-14,158.09,159.4,158.28,158.99
4452,2017-09-13,157.91,159.96,159.65,159.87
4451,2017-09-12,158.77,163.96,160.86,162.61
4450,2017-09-11,159.89,162.05,161.5,160.5
4449,2017-09-08,158.53,161.15,158.63,160.86
4448,2017-09-07,160.36,162.24,161.26,162.09
4447,2017-09-06,160.52,162.99,161.91,162.71
4446,2017-09-05,160.56,164.25,162.08,163.75
