,Date,Low,High,Close,Open,Med
0,2000-01-03,112.0,118.62,116.56,117.37,115.31
1,2000-01-04,112.25,117.12,112.62,113.56,114.685
2,2000-01-05,109.37,116.37,113.81,111.12,112.87
3,2000-01-06,108.37,113.87,110.0,112.19,111.12
4,2000-01-07,107.31,112.25,111.44,108.62,109.78
5,2000-01-10,111.37,113.69,112.25,113.44,112.53
6,2000-01-11,108.69,114.25,109.37,111.5,111.47
7,2000-01-12,104.44,108.87,105.81,108.5,106.655
8,2000-01-13,101.5,108.62,107.81,104.37,105.06
9,2000-01-14,105.75,113.94,112.25,107.19,109.845
10,2000-01-18,111.75,116.5,115.31,111.81,114.125
11,2000-01-19,106.0,111.5,107.0,110.5,108.75
12,2000-01-20,105.87,109.69,106.0,107.06,107.78
13,2000-01-21,103.25,107.25,103.75,107.0,105.25
14,2000-01-24,100.81,105.69,101.25,103.8,103.25
15,2000-01-25,99.56,103.87,102.81,101.0,101.715
16,2000-01-26,99.12,103.5,99.37,102.44,101.31
17,2000-01-27,97.25,101.19,98.75,99.89,99.22
18,2000-01-28,97.25,100.25,98.25,98.12,98.75
19,2000-01-31,94.87,98.19,97.87,97.62,96.53
20,2000-02-01,97.69,103.25,102.94,98.5,100.47
21,2000-02-02,100.5,103.94,100.81,102.44,102.22
22,2000-02-03,100.12,104.19,103.62,102.06,102.155
23,2000-02-04,104.14,108.0,106.56,104.37,106.07
24,2000-02-07,104.25,106.87,106.62,106.81,105.56
25,2000-02-08,106.44,110.0,109.94,106.44,108.22
26,2000-02-09,103.87,109.44,104.0,109.44,106.655
27,2000-02-10,102.5,106.56,106.0,103.89,104.53
28,2000-02-11,99.12,104.87,99.94,104.87,101.995
29,2000-02-14,99.06,101.75,99.62,101.23,100.405
30,2000-02-15,98.12,100.0,98.56,99.75,99.06
31,2000-02-16,97.12,100.19,97.62,99.25,98.655
32,2000-02-17,97.14,99.69,99.62,98.5,98.41499999999999
33,2000-02-18,94.87,100.06,95.06,100.0,97.465
34,2000-02-22,92.81,97.12,93.81,95.12,94.965
35,2000-02-23,92.06,95.75,94.25,93.5,93.905
36,2000-02-24,92.0,95.87,94.75,94.25,93.935
37,2000-02-25,90.5,94.7,91.31,94.69,92.6
38,2000-02-28,88.12,92.12,91.56,90.25,90.12
39,2000-02-29,88.87,91.75,89.37,91.75,90.31
40,2000-03-01,88.94,94.09,90.81,89.62,91.515
41,2000-03-02,91.12,95.37,93.37,91.81,93.245
42,2000-03-03,93.87,98.87,96.12,94.75,96.37
43,2000-03-06,90.12,97.37,90.62,96.0,93.745
44,2000-03-07,91.94,97.5,92.87,96.12,94.72
45,2000-03-08,91.0,96.19,95.56,93.81,93.595
46,2000-03-09,95.0,100.0,100.0,95.31,97.5
47,2000-03-10,99.5,102.5,101.0,99.56,101.0
48,2000-03-13,97.5,100.25,98.0,97.62,98.875
49,2000-03-14,95.12,99.25,95.12,98.62,97.185
50,2000-03-15,93.69,96.62,95.37,94.56,95.155
51,2000-03-16,93.25,96.69,95.37,95.94,94.97
52,2000-03-17,94.5,99.5,99.37,95.25,97.0
53,2000-03-20,96.5,99.75,97.37,98.75,98.125
54,2000-03-21,96.5,103.12,102.75,96.75,99.81
55,2000-03-22,101.12,105.62,103.25,102.81,103.37
56,2000-03-23,106.62,112.87,111.87,106.81,109.745
57,2000-03-24,109.56,115.0,111.69,112.62,112.28
58,2000-03-27,103.94,108.25,104.06,107.77,106.095
59,2000-03-28,102.37,107.44,104.31,103.62,104.905
60,2000-03-29,105.12,108.94,107.19,105.19,107.03
61,2000-03-30,102.5,108.62,103.37,106.19,105.56
62,2000-03-31,104.12,108.25,106.25,106.0,106.185
63,2000-04-03,90.0,96.5,90.87,94.44,93.25
64,2000-04-04,84.94,92.0,88.56,91.56,88.47
65,2000-04-05,85.87,88.5,86.37,88.25,87.185
66,2000-04-06,85.27,88.0,86.0,87.87,86.63499999999999
67,2000-04-07,85.0,89.37,89.06,87.0,87.185
68,2000-04-10,86.0,88.62,86.06,88.62,87.31
69,2000-04-11,83.5,86.06,83.87,85.12,84.78
70,2000-04-12,78.75,82.25,79.37,82.12,80.5
71,2000-04-13,79.0,82.25,79.25,80.87,80.625
72,2000-04-14,73.25,79.5,74.12,79.12,76.375
73,2000-04-17,73.0,76.0,75.87,74.25,74.5
74,2000-04-18,75.87,81.94,80.56,76.5,78.905
75,2000-04-19,78.12,81.5,78.69,81.44,79.81
76,2000-04-20,77.5,79.87,78.94,78.62,78.685
77,2000-04-24,65.0,68.0,66.62,67.25,66.5
78,2000-04-25,67.62,69.5,69.37,68.75,68.56
79,2000-04-26,67.37,71.12,68.0,70.0,69.245
80,2000-04-27,67.37,69.94,69.81,67.44,68.655
81,2000-04-28,68.25,71.0,69.75,70.75,69.625
82,2000-05-01,71.69,74.0,73.44,72.87,72.845
83,2000-05-02,69.5,73.5,69.87,72.81,71.5
84,2000-05-03,68.81,70.81,70.56,70.37,69.81
85,2000-05-04,69.31,71.25,70.44,70.31,70.28
86,2000-05-05,69.87,71.81,71.12,70.25,70.84
87,2000-05-08,69.69,71.37,69.81,70.94,70.53
88,2000-05-09,67.5,70.44,67.81,70.19,68.97
89,2000-05-10,65.75,67.87,66.19,67.75,66.81
90,2000-05-11,65.75,68.12,67.87,66.62,66.935
91,2000-05-12,68.25,69.75,68.81,68.44,69.0
92,2000-05-15,68.0,69.44,69.37,69.0,68.72
93,2000-05-16,69.06,70.62,69.5,69.56,69.84
94,2000-05-17,67.25,69.12,67.69,68.87,68.185
95,2000-05-18,65.87,68.06,66.19,68.06,66.965
96,2000-05-19,64.5,65.94,65.06,65.37,65.22
97,2000-05-22,62.44,65.25,64.19,65.12,63.845
98,2000-05-23,63.06,65.56,63.19,63.88,64.31
99,2000-05-24,63.0,66.56,65.56,63.13,64.78
100,2000-05-25,61.13,64.75,61.5,64.56,62.94
101,2000-05-26,60.38,62.63,61.44,62.06,61.505
102,2000-05-30,62.0,64.12,63.38,62.44,63.06
103,2000-05-31,62.06,63.7,62.56,63.64,62.88
104,2000-06-01,63.81,66.0,64.56,64.37,64.905
105,2000-06-02,65.0,66.75,66.31,66.0,65.875
106,2000-06-05,66.0,68.37,66.87,66.02,67.185
107,2000-06-06,67.81,69.87,69.62,68.19,68.84
108,2000-06-07,67.12,70.75,70.5,69.25,68.935
109,2000-06-08,68.25,72.12,68.81,71.56,70.185
