,Date,Open,Med
0,2000-01-03,52.56,51.56
1,2000-01-04,49.56,48.59
2,2000-01-05,44.38,44.94
3,2000-01-06,46.5,45.81
4,2000-01-07,53.5,56.62
5,2000-01-10,58.5,59.16
6,2000-01-11,58.12,58.50
7,2000-01-12,59.94,60.25
8,2000-01-13,63.31,63.03
9,2000-01-14,63.94,62.97
10,2000-01-18,60.19,60.44
11,2000-01-19,59.38,60.09
12,2000-01-20,62.62,61.88
13,2000-01-21,60.81,60.91
14,2000-01-24,62.0,63.25
15,2000-01-25,64.56,64.69
16,2000-01-26,64.38,66.94
17,2000-01-27,67.75,68.25
18,2000-01-28,69.0,69.72
19,2000-01-31,65.62,64.81
20,2000-02-01,65.5,65.81
21,2000-02-02,64.56,64.81
22,2000-02-03,65.56,65.63
23,2000-02-04,67.44,68.66
24,2000-02-07,68.81,67.88
25,2000-02-08,71.0,72.25
26,2000-02-09,73.0,72.94
27,2000-02-10,70.69,70.41
28,2000-02-11,71.88,70.31
29,2000-02-14,68.25,68.91
30,2000-02-15,67.75,67.19
31,2000-02-16,66.81,67.78
32,2000-02-17,71.12,71.59
33,2000-02-18,72.0,71.34
34,2000-02-22,72.0,72.09
35,2000-02-23,73.38,72.88
36,2000-02-24,74.62,73.00
37,2000-02-25,71.0,71.31
38,2000-02-28,69.62,70.21
39,2000-02-29,69.56,69.97
40,2000-03-01,71.19,71.41
41,2000-03-02,71.75,72.38
42,2000-03-03,73.88,74.50
43,2000-03-06,81.5,81.50
44,2000-03-07,83.25,82.69
45,2000-03-08,81.94,80.44
46,2000-03-09,84.88,83.28
47,2000-03-10,85.44,84.66
48,2000-03-13,78.88,79.44
49,2000-03-14,80.06,78.78
50,2000-03-15,75.25,73.47
51,2000-03-16,74.0,71.84
52,2000-03-17,70.69,72.28
53,2000-03-20,77.5,77.16
54,2000-03-21,75.0,74.72
55,2000-03-22,75.25,75.34
56,2000-03-23,73.62,73.12
57,2000-03-24,72.44,73.59
58,2000-03-27,74.88,75.53
59,2000-03-28,75.31,74.03
60,2000-03-29,68.75,62.81
61,2000-03-30,60.94,59.78
62,2000-03-31,61.25,59.38
63,2000-04-03,58.62,55.75
64,2000-04-04,55.81,52.41
65,2000-04-05,52.31,55.00
66,2000-04-06,59.06,58.72
67,2000-04-07,59.31,58.66
68,2000-04-10,56.5,55.25
69,2000-04-11,52.0,52.94
70,2000-04-12,54.38,52.44
71,2000-04-13,51.25,50.28
72,2000-04-14,47.25,47.09
73,2000-04-17,48.19,49.69
74,2000-04-18,51.12,49.50
75,2000-04-19,52.5,50.53
76,2000-04-20,47.5,45.56
77,2000-04-24,42.0,41.78
78,2000-04-25,46.88,47.09
79,2000-04-26,49.0,48.66
80,2000-04-27,46.75,47.56
81,2000-04-28,48.94,48.84
82,2000-05-01,49.38,50.44
83,2000-05-02,51.44,50.88
84,2000-05-03,49.56,48.03
85,2000-05-04,48.38,47.56
86,2000-05-05,48.25,49.25
87,2000-05-08,49.5,48.59
88,2000-05-09,48.5,47.47
89,2000-05-10,45.69,44.34
90,2000-05-11,44.56,44.34
91,2000-05-12,46.5,46.28
