,Date,Low,High,Close,Open
4631,2018-05-31,98.61,99.99,98.84,99.29
4630,2018-05-30,97.91,99.25,98.95,98.31
4629,2018-05-29,97.23,98.88,98.01,97.84
4628,2018-05-25,97.86,98.98,98.36,98.3
4627,2018-05-24,96.81,98.94,98.31,98.725
4626,2018-05-23,96.32,98.73,98.66,96.71
4625,2018-05-22,97.2,98.17,97.5,97.68
4624,2018-05-21,96.8,98.01,97.6,97.0
4623,2018-05-18,96.01,96.93,96.36,96.01
4622,2018-05-17,95.83,97.5401,96.18,96.76
4621,2018-05-16,96.615,97.4,97.15,97.36
4620,2018-05-15,96.34,97.85,97.32,97.24
4619,2018-05-14,97.31,98.69,98.03,97.92
4618,2018-05-11,97.04,97.87,97.7,97.8
4617,2018-05-10,97.05,97.95,97.91,97.46
4616,2018-05-09,95.05,96.97,96.94,96.01
4615,2018-05-08,95.0631,96.16,95.81,95.8456
4614,2018-05-07,95.1,96.71,96.22,95.17
4613,2018-05-04,92.92,95.37,95.16,93.32
4612,2018-05-03,92.45,94.925,94.07,92.96
4611,2018-05-02,93.19,95.17,93.51,94.99
4610,2018-05-01,92.79,95.29,95.0,93.21
4609,2018-04-30,93.15,96.3964,93.52,96.33
4608,2018-04-27,93.91,97.9,95.82,97.6
4607,2018-04-26,93.1,95.15,94.26,93.55
4606,2018-04-25,90.28,93.3,92.31,93.3
4605,2018-04-24,92.41,96.47,93.12,96.242
4604,2018-04-23,94.63,96.29,95.35,95.7436
4603,2018-04-20,94.05,96.11,95.0,95.91
4602,2018-04-19,95.34,97.07,96.11,96.44
4601,2018-04-18,95.52,96.72,96.44,96.22
4600,2018-04-17,94.88,96.54,96.07,95.0
4599,2018-04-16,93.42,94.66,94.17,94.07
4598,2018-04-13,92.44,94.18,93.08,94.05
4597,2018-04-12,92.43,94.16,93.58,92.43
4596,2018-04-11,91.48,93.29,91.86,92.01
4595,2018-04-10,91.64,93.28,92.88,92.39
4594,2018-04-09,90.62,93.17,90.77,91.04
4593,2018-04-06,89.48,92.46,90.23,91.49
4592,2018-04-05,91.4,93.065,92.38,92.435
4591,2018-04-04,87.73,92.76,92.33,87.85
4590,2018-04-03,87.89,90.05,89.71,89.575
4589,2018-04-02,87.51,90.88,88.52,90.47
4588,2018-03-29,88.4,92.29,91.27,90.18
4587,2018-03-28,88.873,91.23,89.39,89.82
4586,2018-03-27,88.51,95.139,89.47,94.94
4585,2018-03-26,90.4,94.0,93.78,90.61
4584,2018-03-23,87.08,90.46,87.18,89.5
4583,2018-03-22,89.66,91.75,89.79,91.265
4582,2018-03-21,92.21,94.05,92.48,92.93
4581,2018-03-20,93.0,93.77,93.13,93.05
4580,2018-03-19,92.11,93.9,92.89,93.74
4579,2018-03-16,93.92,95.38,94.6,94.68
4578,2018-03-15,92.83,94.58,94.18,93.53
4577,2018-03-14,93.5,95.41,93.85,95.12
4576,2018-03-13,93.97,97.24,94.41,97.0
4575,2018-03-12,96.04,97.21,96.77,96.5
4574,2018-03-09,95.0,96.54,96.54,95.29
4573,2018-03-08,93.765,95.1,94.43,94.27
4572,2018-03-07,92.43,93.9406,93.86,93.16
4571,2018-03-06,92.941,94.49,93.32,94.34
4570,2018-03-05,92.26,94.27,93.64,92.34
4569,2018-03-02,90.86,93.15,93.05,91.58
4568,2018-03-01,91.84,94.57,92.85,93.99
4567,2018-02-28,93.63,95.705,93.77,94.84
4566,2018-02-27,94.2,95.84,94.2,95.74
4565,2018-02-26,94.25,95.45,95.42,94.4
4564,2018-02-23,92.36,94.07,94.06,92.75
4563,2018-02-22,91.36,92.73,91.73,92.05
4562,2018-02-21,91.49,93.3595,91.49,92.98
4561,2018-02-20,91.01,93.06,92.72,91.475
4560,2018-02-16,91.8,93.5,92.0,92.45
4559,2018-02-15,90.62,92.72,92.66,91.21
4558,2018-02-14,88.41,90.99,90.81,88.51
4557,2018-02-13,87.8,90.0,89.83,88.93
4556,2018-02-12,87.9295,89.78,89.13,88.735
4555,2018-02-09,83.83,88.93,88.18,86.3
4554,2018-02-08,84.76,89.875,85.01,89.71
4553,2018-02-07,89.2,91.77,89.61,90.49
4552,2018-02-06,85.25,91.475,91.33,86.89
4551,2018-02-05,88.0,93.24,88.0,90.56
4550,2018-02-02,91.5,93.97,91.78,93.64
4549,2018-02-01,93.5813,96.07,94.26,94.79
4548,2018-01-31,93.51,95.4,95.01,93.75
4547,2018-01-30,92.1,93.66,92.74,93.3
4546,2018-01-29,93.72,95.45,93.92,95.14
4545,2018-01-26,92.58,94.06,94.06,93.12
4544,2018-01-25,91.93,93.24,92.33,92.465
4543,2018-01-24,91.58,93.43,91.82,92.55
4542,2018-01-23,91.54,92.3,91.9,91.9
4541,2018-01-22,89.74,91.62,91.61,90.0
4540,2018-01-19,89.66,90.61,90.0,90.14
4539,2018-01-18,89.66,90.67,90.1,89.8
4538,2018-01-17,88.75,90.28,90.14,89.08
4537,2018-01-16,88.0104,90.79,88.35,90.1
4536,2018-01-12,88.45,89.78,89.6,88.67
4535,2018-01-11,87.24,88.13,88.08,88.13
4534,2018-01-10,87.41,88.19,87.82,87.86
4533,2018-01-09,87.86,88.7272,88.22,88.65
4532,2018-01-08,87.6046,88.58,88.28,88.2
4531,2018-01-05,87.43,88.41,88.19,87.66
4530,2018-01-04,86.57,87.66,87.11,86.59
4529,2018-01-03,85.97,86.51,86.35,86.055
4528,2018-01-02,85.5,86.31,85.95,86.125
4527,2017-12-29,85.5,86.05,85.54,85.63
4526,2017-12-28,85.55,85.93,85.72,85.9
4525,2017-12-27,85.215,85.98,85.71,85.65
4524,2017-12-26,85.03,85.5346,85.4,85.31
4523,2017-12-22,84.92,85.63,85.51,85.4
4522,2017-12-21,85.4,86.1,85.5,86.05
4521,2017-12-20,84.71,86.3,85.52,86.2
4520,2017-12-19,85.27,86.35,85.83,86.35
4519,2017-12-18,86.23,87.4999,86.38,87.12
4518,2017-12-15,84.88,87.09,86.85,85.26
4517,2017-12-14,84.53,85.8739,84.69,85.43
4516,2017-12-13,85.17,86.0,85.35,85.74
4515,2017-12-12,85.08,86.05,85.58,85.31
4514,2017-12-11,84.12,85.37,85.23,84.29
4513,2017-12-08,83.33,84.58,84.16,83.63
4512,2017-12-07,82.0,82.8,82.49,82.54
4511,2017-12-06,81.43,83.14,82.78,81.55
4510,2017-12-05,80.9801,82.68,81.59,81.34
4509,2017-12-04,80.7,84.4299,81.08,84.42
4508,2017-12-01,83.22,84.81,84.26,83.6
4507,2017-11-30,83.34,84.52,84.17,83.51
4506,2017-11-29,83.175,84.9172,83.34,84.71
4505,2017-11-28,84.02,85.06,84.88,84.07
4504,2017-11-27,83.3,83.98,83.87,83.31
4503,2017-11-24,82.78,83.43,83.26,83.01
4502,2017-11-22,83.04,83.9,83.11,83.83
4501,2017-11-21,82.74,83.84,83.72,82.74
4500,2017-11-20,82.25,82.59,82.53,82.4
4499,2017-11-17,82.24,83.12,82.4,83.12
4498,2017-11-16,82.94,83.42,83.2,83.1
4497,2017-11-15,82.69,83.69,82.98,83.47
4496,2017-11-14,82.98,84.1,84.05,83.5
4495,2017-11-13,83.46,83.94,83.93,83.66
4494,2017-11-10,83.23,84.095,83.87,83.79
4493,2017-11-09,82.9,84.27,84.09,84.11
4492,2017-11-08,83.83,84.61,84.56,84.14
4491,2017-11-07,83.93,84.9,84.27,84.77
4490,2017-11-06,84.0825,84.7,84.47,84.2
4489,2017-11-03,83.4,84.54,84.14,84.08
4488,2017-11-02,83.12,84.46,84.05,83.35
4487,2017-11-01,82.88,83.76,83.18,83.68
4486,2017-10-31,83.11,84.36,83.18,84.36
4485,2017-10-30,83.105,84.325,83.89,83.7
4484,2017-10-27,83.61,86.2,83.81,84.37
4483,2017-10-26,78.75,79.42,78.76,79.2
4482,2017-10-25,78.01,79.1,78.63,78.58
4481,2017-10-24,78.46,79.2,78.86,78.9
4480,2017-10-23,78.76,79.34,78.83,78.99
4479,2017-10-20,78.22,78.97,78.81,78.32
4478,2017-10-19,77.35,77.93,77.91,77.57
4477,2017-10-18,77.37,77.85,77.61,77.67
4476,2017-10-17,77.25,77.62,77.59,77.47
4475,2017-10-16,77.35,77.81,77.65,77.42
4474,2017-10-13,77.29,77.87,77.49,77.59
4473,2017-10-12,76.37,77.29,77.12,76.49
4472,2017-10-11,75.95,76.46,76.42,76.36
4471,2017-10-10,76.14,76.63,76.29,76.33
4470,2017-10-09,75.86,76.55,76.29,75.97
4469,2017-10-06,75.54,76.03,76.0,75.67
4468,2017-10-05,74.96,76.12,75.97,75.22
4467,2017-10-04,73.71,74.72,74.69,74.0
4466,2017-10-03,74.195,74.88,74.26,74.67
4465,2017-10-02,74.295,75.01,74.61,74.71
4464,2017-09-29,73.88,74.535,74.49,73.94
4463,2017-09-28,73.31,73.97,73.87,73.54
4462,2017-09-27,73.17,74.17,73.85,73.55
4461,2017-09-26,72.99,73.81,73.26,73.67
4460,2017-09-25,72.92,74.25,73.26,74.09
4459,2017-09-22,73.85,74.51,74.41,73.99
4458,2017-09-21,74.11,75.24,74.21,75.11
4457,2017-09-20,74.31,75.55,74.94,75.35
4456,2017-09-19,75.01,75.71,75.44,75.21
4455,2017-09-18,75.04,75.97,75.16,75.23
4454,2017-09-15,74.07,75.39,75.31,74.83
4453,2017-09-14,74.52,75.49,74.77,75.0
4452,2017-09-13,74.55,75.23,75.21,74.93
4451,2017-09-12,74.37,75.24,74.68,74.76
4450,2017-09-11,74.31,74.945,74.76,74.31
4449,2017-09-08,73.84,74.44,73.98,74.33
4448,2017-09-07,73.6,74.6,74.34,73.68
4447,2017-09-06,73.35,74.04,73.4,73.74
4446,2017-09-05,72.98,73.89,73.61,73.34
4445,2017-09-01,73.64,74.74,73.94,74.71
4444,2017-08-31,73.8,74.96,74.77,74.03
4443,2017-08-30,72.8293,74.2099,74.01,73.01
4442,2017-08-29,72.05,73.16,73.05,72.25
4441,2017-08-28,72.55,73.09,72.83,73.06
4440,2017-08-25,72.48,73.35,72.82,72.86
4439,2017-08-24,72.07,72.86,72.69,72.74
4438,2017-08-23,72.53,73.15,72.72,72.96
4437,2017-08-22,72.35,73.24,73.16,72.35
4436,2017-08-21,71.7,72.48,72.15,72.47
4435,2017-08-18,71.93,72.84,72.49,72.27
4434,2017-08-17,72.4,73.87,72.4,73.58
4433,2017-08-16,73.17,74.1,73.65,73.34
4432,2017-08-15,73.04,73.59,73.22,73.59
4431,2017-08-14,72.95,73.72,73.59,73.06
4430,2017-08-11,71.28,72.7,72.5,71.61
4429,2017-08-10,71.35,72.19,71.41,71.9
4428,2017-08-09,72.05,72.51,72.47,72.25
4427,2017-08-08,71.75,73.13,72.79,72.09
4426,2017-08-07,72.26,72.9,72.4,72.8
4425,2017-08-04,72.24,73.04,72.68,72.4
4424,2017-08-03,71.845,72.44,72.15,72.19
4423,2017-08-02,71.445,72.56,72.26,72.55
4422,2017-08-01,72.49,73.42,72.58,73.1
4421,2017-07-31,72.41,73.44,72.7,73.3
4420,2017-07-28,72.54,73.31,73.04,72.67
4419,2017-07-27,72.32,74.42,73.16,73.76
4418,2017-07-26,73.81,74.38,74.05,74.34
4417,2017-07-25,73.5,74.31,74.19,73.8
4416,2017-07-24,73.13,73.75,73.6,73.53
4415,2017-07-21,73.17,74.29,73.79,73.45
4414,2017-07-20,73.28,74.3,74.22,74.18
