,Date,Low,High,Close,Open
1994,2018-05-31,282.93,290.37,284.73,287.21
1993,2018-05-30,281.6,295.005,291.72,283.29
1992,2018-05-29,276.15,286.5,283.76,278.51
1991,2018-05-25,275.61,279.64,278.85,277.6252
1990,2018-05-24,274.89,281.11,277.85,278.4
1989,2018-05-23,274.0,279.9099,279.07,277.76
1988,2018-05-22,273.422,288.0,275.01,287.762
1987,2018-05-21,281.3,291.49,284.49,281.33
1986,2018-05-18,274.0,284.65,276.82,284.65
1985,2018-05-17,283.97,289.1873,284.54,285.9
1984,2018-05-16,281.56,288.81,286.48,283.83
1983,2018-05-15,280.5,286.96,284.18,285.01
1982,2018-05-14,291.62,304.94,291.97,303.32
1981,2018-05-11,299.08,308.88,301.06,307.7
1980,2018-05-10,304.1119,312.99,305.02,307.4997
1979,2018-05-09,300.05,307.01,306.85,300.41
1978,2018-05-08,299.0,307.75,301.97,300.7953
1977,2018-05-07,295.17,305.9588,302.77,297.5
1976,2018-05-04,279.52,296.86,294.09,283.0
1975,2018-05-03,275.23,288.04,284.45,278.79
1974,2018-05-02,297.7844,306.85,301.15,298.57
1973,2018-05-01,293.22,300.82,299.92,293.51
1972,2018-04-30,292.5,298.73,293.9,293.61
1971,2018-04-27,283.83,294.47,294.075,285.37
1970,2018-04-26,276.5,285.79,285.48,278.75
1969,2018-04-25,277.25,285.16,280.69,283.5
1968,2018-04-24,278.46,287.09,283.46,285.0
1967,2018-04-23,282.33,291.62,283.37,291.29
1966,2018-04-20,289.75,299.98,290.24,295.17
1965,2018-04-19,288.55,301.01,300.08,291.08
1964,2018-04-18,288.16,300.24,293.35,291.08
1963,2018-04-17,282.51,292.17,287.69,288.87
1962,2018-04-16,289.01,299.66,291.21,299.0
1961,2018-04-13,295.98,303.9499,300.34,303.6
1960,2018-04-12,293.68,303.95,294.08,302.32
1959,2018-04-11,299.66,308.98,300.93,300.7403
1958,2018-04-10,293.68,307.1,304.7,298.97
1957,2018-04-09,289.21,309.5,289.66,300.37
1956,2018-04-06,295.5,309.28,299.3,301.0
1955,2018-04-05,288.2,306.26,305.72,289.34
1954,2018-04-04,252.0,288.37,286.94,252.78
1953,2018-04-03,254.49,273.35,267.53,269.82
1952,2018-04-02,244.5901,260.3318,252.48,256.26
1951,2018-03-29,248.21,270.9599,266.13,256.49
1950,2018-03-28,252.1,268.68,257.78,264.58
1949,2018-03-27,277.18,304.27,279.18,304.0
1948,2018-03-26,291.36,307.59,304.18,307.34
1947,2018-03-23,300.45,311.61,301.54,311.25
1946,2018-03-22,308.18,318.82,309.1,313.89
1945,2018-03-21,310.19,322.44,316.53,310.25
1944,2018-03-20,308.76,316.25,310.55,314.87
1943,2018-03-19,309.67,320.75,313.56,316.5
1942,2018-03-16,319.07,327.4,321.35,325.96
1941,2018-03-15,321.1,332.85,325.6,329.38
1940,2018-03-14,323.93,339.81,326.63,336.76
1939,2018-03-13,336.2635,345.12,341.84,344.92
1938,2018-03-12,326.5,347.21,345.51,328.61
1937,2018-03-09,322.37,328.49,327.17,324.1
1936,2018-03-08,326.274,333.3,329.1,332.86
1935,2018-03-07,321.74,332.5,332.3,325.44
1934,2018-03-06,327.03,336.37,328.2,333.75
1933,2018-03-05,329.2929,337.75,333.35,332.39
1932,2018-03-02,322.97,335.22,335.12,326.98
1931,2018-03-01,330.07,348.67,330.93,345.01
1930,2018-02-28,342.22,355.24,343.06,352.57
1929,2018-02-27,350.01,359.99,350.99,356.25
1928,2018-02-26,352.355,359.0,357.42,353.5
1927,2018-02-23,347.1,354.99,352.05,347.83
1926,2018-02-22,334.7501,347.44,346.17,335.53
1925,2018-02-21,333.17,339.6929,333.3,336.03
1924,2018-02-20,331.5,340.84,334.77,334.47
1923,2018-02-16,331.64,343.12,335.49,332.5
1922,2018-02-15,322.4,334.12,334.065,324.5
1921,2018-02-14,318.52,326.17,322.31,320.84
1920,2018-02-13,312.5105,324.19,323.66,315.02
1919,2018-02-12,306.25,318.08,315.73,316.13
1918,2018-02-09,294.76,320.9845,310.42,319.93
1917,2018-02-08,314.6,348.62,315.23,343.31
1916,2018-02-07,335.66,346.0,345.0,338.99
1915,2018-02-06,323.5,336.22,333.97,325.21
1914,2018-02-05,333.0,344.47,333.13,337.97
1913,2018-02-02,340.51,351.95,343.75,348.44
1912,2018-02-01,348.63,359.66,349.25,351.0
1911,2018-01-31,345.19,356.19,354.31,347.51
1910,2018-01-30,342.17,348.27,345.82,345.14
1909,2018-01-29,338.28,350.85,349.53,339.85
1908,2018-01-26,335.71,344.0,342.85,341.5
1907,2018-01-25,336.4,349.2,337.64,348.27
1906,2018-01-24,343.52,354.75,345.89,354.58
1905,2018-01-23,351.0,360.5,352.79,360.0
1904,2018-01-22,349.2,357.83,351.56,349.4
1903,2018-01-19,342.6,350.5899,350.02,345.0
1902,2018-01-18,343.74,352.3,344.57,345.67
1901,2018-01-17,339.75,349.0,347.16,340.47
1900,2018-01-16,334.8,345.0,340.06,337.54
1899,2018-01-12,333.67,340.41,336.22,338.63
1898,2018-01-11,333.26,344.8099,337.95,335.24
1897,2018-01-10,330.0,337.0,334.8,332.2
1896,2018-01-09,327.405,338.8,333.69,335.16
1895,2018-01-08,315.5,337.0199,336.41,316.0
1894,2018-01-05,312.0,317.24,316.58,316.62
1893,2018-01-04,305.68,318.55,314.62,312.87
1892,2018-01-03,315.55,325.25,317.25,321.0
1891,2018-01-02,311.0,322.1099,320.53,312.0
1890,2017-12-29,310.0,316.41,311.35,316.18
1889,2017-12-28,309.54,315.82,315.36,311.75
1888,2017-12-27,310.75,317.68,311.64,316.0
1887,2017-12-26,316.58,323.94,317.29,323.83
1886,2017-12-22,324.82,330.9214,325.2,329.51
1885,2017-12-21,327.21,333.74,331.66,329.59
1884,2017-12-20,325.04,333.1,328.98,332.69
1883,2017-12-19,330.3,341.4925,331.1,340.26
1882,2017-12-18,337.58,346.73,338.87,344.9
1881,2017-12-15,335.76,343.9,343.45,342.04
1880,2017-12-14,336.9,347.44,337.89,341.01
1879,2017-12-13,336.5,344.22,339.03,340.93
1878,2017-12-12,330.03,341.44,341.03,330.45
1877,2017-12-11,313.75,329.01,328.91,314.63
1876,2017-12-08,311.26,316.98,315.13,314.6
1875,2017-12-07,311.05,318.6341,311.24,312.0
1874,2017-12-06,300.0,313.39,313.26,300.1
1873,2017-12-05,301.0,308.0,303.7,302.0
1872,2017-12-04,300.61,308.265,305.2,306.5
1871,2017-12-01,305.05,310.32,306.53,305.44
1870,2017-11-30,304.54,310.7,308.85,308.56
1869,2017-11-29,301.23,318.0,307.54,317.3
1868,2017-11-28,313.92,320.0,317.55,316.36
1867,2017-11-27,309.51,317.34,316.81,313.25
1866,2017-11-24,311.0,316.41,315.55,313.79
1865,2017-11-22,311.84,317.42,312.6,316.77
1864,2017-11-21,308.71,318.23,317.81,310.86
1863,2017-11-20,304.75,315.5,308.74,313.79
1862,2017-11-17,313.15,326.67,315.05,325.67
1861,2017-11-16,311.3,318.14,312.5,313.99
1860,2017-11-15,301.5,312.49,311.3,306.01
1859,2017-11-14,306.9,316.35,308.7,315.0
1858,2017-11-13,299.11,316.8,315.4,300.13
1857,2017-11-10,301.85,308.36,302.99,302.5
1856,2017-11-09,296.3,304.46,302.99,302.5
1855,2017-11-08,301.3,306.89,304.39,305.5
1854,2017-11-07,300.03,306.5,306.05,301.02
1853,2017-11-06,299.01,307.5,302.78,307.0
1852,2017-11-03,295.13,306.25,306.09,299.5
1851,2017-11-02,292.63,308.69,299.26,300.13
1850,2017-11-01,320.26,332.61,321.08,332.25
1849,2017-10-31,320.18,331.95,331.53,320.23
1848,2017-10-30,317.25,323.78,320.08,319.18
1847,2017-10-27,316.66,324.59,320.87,319.75
1846,2017-10-26,323.2,330.23,326.17,327.78
1845,2017-10-25,323.56,337.5,325.84,336.7
1844,2017-10-24,336.16,342.8,337.34,338.8
1843,2017-10-23,336.25,349.95,337.02,349.88
1842,2017-10-20,344.34,354.55,345.1,352.69
1841,2017-10-19,348.2,357.15,351.81,355.56
1840,2017-10-18,354.13,363.0,359.65,355.97
1839,2017-10-17,350.07,356.22,355.75,350.91
1838,2017-10-16,347.16,354.48,350.6,353.76
1837,2017-10-13,353.68,358.49,355.57,356.98
1836,2017-10-12,352.64,359.78,355.68,352.95
1835,2017-10-11,351.15,357.6,354.6,353.89
1834,2017-10-10,345.53,355.63,355.59,346.8
1833,2017-10-09,342.67,351.75,342.94,349.65
1832,2017-10-06,352.25,360.1,356.88,353.1
1831,2017-10-05,351.35,357.44,355.33,356.0
1830,2017-10-04,349.6,358.62,355.01,351.25
1829,2017-10-03,331.28,348.55,348.14,335.9
1828,2017-10-02,335.51,343.7,341.53,342.52
1827,2017-09-29,338.6,344.68,341.1,341.86
1826,2017-09-28,335.4,342.75,339.6,339.88
1825,2017-09-27,340.5,351.49,340.97,349.9
1824,2017-09-26,340.9,351.24,345.25,350.93
1823,2017-09-25,342.88,357.47,344.99,353.15
1822,2017-09-22,350.88,369.9,351.09,366.49
1821,2017-09-21,364.51,376.83,366.48,374.9
1820,2017-09-20,371.07,378.25,373.91,373.0
1819,2017-09-19,373.57,382.39,375.1,380.0
1818,2017-09-18,377.68,389.61,385.0,380.25
1817,2017-09-15,372.7,380.0,379.81,374.51
1816,2017-09-14,362.63,377.96,377.64,364.33
1815,2017-09-13,359.59,368.07,366.23,363.82
1814,2017-09-12,360.4,368.76,362.75,364.49
1813,2017-09-11,350.0,363.71,363.69,351.35
1812,2017-09-08,342.3,349.78,343.4,348.99
1811,2017-09-07,343.45,352.48,350.61,345.98
1810,2017-09-06,341.56,350.98,344.53,349.5
1809,2017-09-05,345.89,355.49,349.59,353.8
1808,2017-09-01,353.69,357.59,355.4,356.12
1807,2017-08-31,352.82,358.44,355.9,353.55
1806,2017-08-30,347.0,353.47,353.18,349.67
1805,2017-08-29,338.75,349.05,347.36,339.48
1804,2017-08-28,339.72,347.35,345.66,347.28
1803,2017-08-25,347.3,355.69,348.05,354.24
1802,2017-08-24,349.74,356.66,352.93,352.52
1801,2017-08-23,338.3,353.49,352.77,338.99
1800,2017-08-22,337.37,342.24,341.35,341.13
1799,2017-08-21,331.85,345.82,337.86,345.82
1798,2017-08-18,345.8,354.0,347.46,352.91
1797,2017-08-17,351.59,363.3,351.92,361.21
1796,2017-08-16,362.52,366.5,362.91,363.0
